DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200100785,05/16/2020 12:00:00 AM,05/15/2020 12:00:00 AM,1945,1,Central,142,1,110,CRIMINAL HOMICIDE,1218 1402 2004 0411 1822,57,M,H,138.0,STAIRWELL*,223.0,UNKNOWN TYPE CUTTING INSTRUMENT,AA,Adult Arrest,110.0,,,,300 S  OLIVE                        ST,,34.0523,-118.2502
201314412,07/24/2020 12:00:00 AM,07/23/2020 12:00:00 AM,2145,13,Newton,1367,1,110,CRIMINAL HOMICIDE,1822 0430 1407 0906 1100 1402 0851,31,M,A,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,998.0,,,1700 E  52ND                         ST,,33.9954,-118.2432
201214818,06/17/2020 12:00:00 AM,06/17/2020 12:00:00 AM,50,12,77th Street,1266,1,110,CRIMINAL HOMICIDE,0906 1822 1407 1100 0430,19,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,500 W  81ST                         ST,,33.9655,-118.2827
201113525,09/12/2020 12:00:00 AM,09/12/2020 12:00:00 AM,1200,11,Northeast,1137,1,110,CRIMINAL HOMICIDE,0913 1814 0400 0416 1402,37,M,W,101.0,STREET,302.0,BLUNT INSTRUMENT,AO,Adult Other,110.0,998.0,,,600 N  AVENUE 50,,34.1109,-118.2016
201319978,11/15/2020 12:00:00 AM,11/15/2020 12:00:00 AM,150,13,Newton,1331,1,110,CRIMINAL HOMICIDE,0906 1270 0913 1100 0430,30,F,B,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,,,,3100 S  HILL                         ST,,34.0211,-118.274
201104267,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,720,11,Northeast,1102,1,110,CRIMINAL HOMICIDE,1218 0430 1202 1100 1822 1402,60,M,W,203.0,OTHER BUSINESS,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,4200    CHEVY CHASE                  DR,,34.1334,-118.2661
200104034,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,838,1,Central,164,1,110,CRIMINAL HOMICIDE,1218 2004 0411 1822,56,M,H,210.0,RESTAURANT/FAST FOOD,207.0,OTHER KNIFE,AA,Adult Arrest,110.0,,,,100 E  7TH                          ST,,34.0446,-118.2507
201320250,11/21/2020 12:00:00 AM,11/21/2020 12:00:00 AM,1200,13,Newton,1347,1,110,CRIMINAL HOMICIDE,1419 1100 1402 0430 1822,46,M,H,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,998.0,,,1600 E  25TH                         ST,,34.0145,-118.2432
201516097,10/09/2020 12:00:00 AM,10/08/2020 12:00:00 AM,655,15,N Hollywood,1585,1,110,CRIMINAL HOMICIDE,2000 0913 1813 1100 0416 0430 1402,25,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",101.0,REVOLVER,AA,Adult Arrest,110.0,998.0,,,10900    BLUFFSIDE                    DR,,34.1412,-118.3681
201608211,04/18/2020 12:00:00 AM,04/18/2020 12:00:00 AM,200,16,Foothill,1693,1,110,CRIMINAL HOMICIDE,0411 2004 1402 1822 1218 0906,39,M,H,102.0,SIDEWALK,207.0,OTHER KNIFE,AA,Adult Arrest,110.0,998.0,,,LAUREL CANYON,SATICOY,34.2085,-118.3965
202107254,03/12/2020 12:00:00 AM,03/12/2020 12:00:00 AM,105,21,Topanga,2183,1,110,CRIMINAL HOMICIDE,1100 0430 1402 1822,59,F,O,501.0,SINGLE FAMILY DWELLING,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,23100    GAINFORD                     ST,,34.1602,-118.6299
200914663,09/14/2020 12:00:00 AM,09/13/2020 12:00:00 AM,2215,9,Van Nuys,905,1,110,CRIMINAL HOMICIDE,1810 1414 0411 0913 1402,56,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",223.0,UNKNOWN TYPE CUTTING INSTRUMENT,AA,Adult Arrest,110.0,998.0,,,14500    VALERIO                      ST,,34.2048,-118.4495
200218817,12/20/2020 12:00:00 AM,12/20/2020 12:00:00 AM,1308,2,Rampart,295,1,110,CRIMINAL HOMICIDE,1402 1407 1100 1822 0430 0906 1270 1816,35,M,B,103.0,ALLEY,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,1200    VENICE                       BL,,34.0424,-118.281
200416099,12/19/2020 12:00:00 AM,12/19/2020 12:00:00 AM,1719,4,Hollenbeck,464,1,110,CRIMINAL HOMICIDE,1822 0430 0906,22,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,200 S  SOTO                         ST,,34.0445,-118.2116
201217369,07/29/2020 12:00:00 AM,07/29/2020 12:00:00 AM,801,12,77th Street,1259,1,110,CRIMINAL HOMICIDE,1817 0411 0913,56,M,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",223.0,UNKNOWN TYPE CUTTING INSTRUMENT,IC,Invest Cont,110.0,,,,800 E  76TH                         PL,,33.9703,-118.2608
201320891,12/05/2020 12:00:00 AM,12/05/2020 12:00:00 AM,1157,13,Newton,1303,1,110,CRIMINAL HOMICIDE,0906 1822 1100 0430 1816,26,M,H,108.0,PARKING LOT,102.0,HAND GUN,IC,Invest Cont,110.0,,,,1100 E  10TH                         ST,,34.0332,-118.2477
200318021,09/29/2020 12:00:00 AM,09/29/2020 12:00:00 AM,918,3,Southwest,356,1,110,CRIMINAL HOMICIDE,0906 1822 1402 0430 1309 1100,34,M,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,1500 W  36TH                         ST,,34.0228,-118.3046
200410989,07/20/2020 12:00:00 AM,07/20/2020 12:00:00 AM,2230,4,Hollenbeck,499,1,110,CRIMINAL HOMICIDE,1100 0430 0906 1270 1822 1402 1419,34,M,W,101.0,STREET,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,BESWICK,CALZONA                      ST,34.0205,-118.1957
201310039,04/28/2020 12:00:00 AM,04/28/2020 12:00:00 AM,235,13,Newton,1383,1,110,CRIMINAL HOMICIDE,1100 1822 1218 0430 1402 0906,36,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,5800    WOODLAWN                     AV,,33.9892,-118.2728
201616053,12/27/2020 12:00:00 AM,12/27/2020 12:00:00 AM,1900,16,Foothill,1664,1,110,CRIMINAL HOMICIDE,1100 0430 1822 1402 1816 1270 1419 0906,26,M,H,101.0,STREET,102.0,HAND GUN,AO,Adult Other,110.0,998.0,,,PENDLETON                    ST,NORRIS                       AV,34.2346,-118.3784
201304300,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1,13,Newton,1344,1,110,CRIMINAL HOMICIDE,1822 1218 0430 1501 1100,32,M,H,101.0,STREET,104.0,SHOTGUN,IC,Invest Cont,110.0,,,,41ST                         PL,AVALON                       BL,34.0082,-118.2652
201821877,12/09/2020 12:00:00 AM,12/09/2020 12:00:00 AM,1755,18,Southeast,1806,1,110,CRIMINAL HOMICIDE,1822 0906 1402 0430 1100,25,M,B,104.0,DRIVEWAY,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,900 E  91ST                         ST,,33.9538,-118.2586
201822433,12/21/2020 12:00:00 AM,12/21/2020 12:00:00 AM,925,18,Southeast,1846,1,110,CRIMINAL HOMICIDE,1100 1822 0430 0342 0906 0858,29,M,B,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,,,,1300 E  114TH                        ST,,33.931,-118.2516
200416454,12/31/2020 12:00:00 AM,12/31/2020 12:00:00 AM,1330,4,Hollenbeck,404,1,110,CRIMINAL HOMICIDE,1100 1822 0430 1402 0906 1270,34,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,AVENUE 60,PASADENA,34.1077,-118.1861
200307523,02/28/2020 12:00:00 AM,02/28/2020 12:00:00 AM,6,3,Southwest,395,1,110,CRIMINAL HOMICIDE,1310 1240 0906 1100 1309 0342 0430 1822 1402 1407,26,F,B,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,4200 S  WESTERN                      AV,,34.0073,-118.3089
201222086,10/06/2020 12:00:00 AM,10/06/2020 12:00:00 AM,1619,12,77th Street,1268,1,110,CRIMINAL HOMICIDE,1822 0906 1402 0334 0430 1100,27,M,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,,,,80TH                         ST,SAN PEDRO                    ST,33.967,-118.2695
200717125,12/15/2020 12:00:00 AM,12/15/2020 12:00:00 AM,1255,7,Wilshire,702,1,110,CRIMINAL HOMICIDE,1309 1100 0430 0302 1822 0906 1419 1313 1205 1407,28,M,B,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,7600    MELROSE                      AV,,34.0837,-118.3553
201612848,09/13/2020 12:00:00 AM,09/13/2020 12:00:00 AM,530,16,Foothill,1623,1,110,CRIMINAL HOMICIDE,1402 0906 1822 1407 0430 1100,23,M,H,101.0,STREET,102.0,HAND GUN,JA,Juv Arrest,110.0,998.0,,,11100    DE GARMO                     AV,,34.2715,-118.4123
201320993,12/08/2020 12:00:00 AM,12/08/2020 12:00:00 AM,2050,13,Newton,1391,1,110,CRIMINAL HOMICIDE,1100 0430 1218 1822 0302 0334 1402,58,M,B,103.0,ALLEY,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,300 W  GAGE                         AV,,33.9824,-118.2789
201308423,03/19/2020 12:00:00 AM,03/18/2020 12:00:00 AM,2040,13,Newton,1371,1,110,CRIMINAL HOMICIDE,1402 1407 1100 0430 1822 1218,36,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,200 W  56TH                         ST,,33.9915,-118.2765
200514679,09/30/2020 12:00:00 AM,09/30/2020 12:00:00 AM,155,5,Harbor,528,1,110,CRIMINAL HOMICIDE,1822 0906 1100 0430 1310 1402 1407,19,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,1200    DRUMM                        AV,,33.7894,-118.2458
201501103,11/25/2020 12:00:00 AM,11/25/2020 12:00:00 AM,2112,15,N Hollywood,1515,1,110,CRIMINAL HOMICIDE,1822 1100 0430 1402 0906 1309 0342 1318 0326 0340,27,M,H,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,6900    SIMPSON                      AV,,34.1958,-118.389
201805560,02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,1458,18,Southeast,1861,1,110,CRIMINAL HOMICIDE,0430 1100 1202 1402 1407 0913,66,M,W,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,600 W  115TH                        ST,,33.9298,-118.2848
200409502,06/04/2020 12:00:00 AM,06/04/2020 12:00:00 AM,2210,4,Hollenbeck,466,1,110,CRIMINAL HOMICIDE,0430 1402 0906 1100 1822,24,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,200 N  SOTO                         ST,,34.0453,-118.2088
201212535,05/10/2020 12:00:00 AM,05/10/2020 12:00:00 AM,227,12,77th Street,1249,1,110,CRIMINAL HOMICIDE,0906 1407 1100 0430 1309 1402 1259 1251 1817 0913,16,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,HOOVER                       ST,68TH                         ST,33.9782,-118.2871
